acc_no,wrng_mode_cd,span,wire_knd_cd,wire_spec_cd,wire_lico,newi_knd_cd,newi_spec_cd
477420193243,13,44,OW,22.0,1,AL,58.0
477420193243,13,33,C2,25.0,1,ZZ,0.0
477420193243,13,41,OW,22.0,1,AL,58.0
477420193243,13,43,C2,25.0,1,ZZ,0.0
477420193243,13,50,C2,25.0,1,ZZ,0.0
477420193243,13,50,C2,25.0,1,ZZ,0.0
477420193349,13,28,AO,35.0,1,AL,58.0
477420193349,13,39,AO,35.0,1,AL,32.0
477420193349,13,61,AO,35.0,1,AL,32.0
477420193349,13,35,AO,35.0,1,AL,32.0
477420193827,13,53,AO,35.0,1,AL,32.0
477420193827,13,37,AO,35.0,1,AL,32.0
477420193827,13,57,AO,35.0,1,AL,32.0
477420194090,13,27,AO,35.0,1,AL,58.0
477420194090,13,38,AO,35.0,1,AL,32.0
477420194090,13,51,AO,35.0,1,AL,32.0
477420194090,13,49,AO,35.0,1,AL,32.0
477420194090,13,47,AO,35.0,1,AL,32.0
477420194090,13,41,AO,35.0,1,AL,32.0
477420194090,13,57,AO,35.0,1,AL,32.0
477420194090,13,54,AO,35.0,1,AL,32.0
477420194090,13,55,AO,35.0,1,AL,32.0
477420194090,13,55,AO,35.0,1,AL,32.0
477420194090,13,42,AO,35.0,1,AL,32.0
477420194090,13,37,AO,35.0,1,AL,32.0
477420194090,13,39,AO,35.0,1,AL,32.0
477420203270,13,21,C2,25.0,1,ZZ,0.0
477420203272,13,42,OW,22.0,1,WO,22.0
477420203272,13,29,OW,22.0,1,WO,22.0
477420203306,13,62,OW,22.0,1,WO,22.0
477420203306,13,43,OW,22.0,1,AL,58.0
477420203306,13,10,OW,22.0,1,WO,22.0
477420203444,13,63,AO,35.0,1,AL,32.0
477420203582,13,54,C2,25.0,1,ZZ,0.0
477420203582,13,62,C2,25.0,1,ZZ,0.0
477420203582,13,16,C2,25.0,1,ZZ,0.0
477420203582,13,38,C2,25.0,1,ZZ,0.0
477420203601,13,57,OW,22.0,1,AL,58.0
477420203601,13,38,OW,22.0,1,AL,58.0
477420203601,13,57,OW,22.0,1,AL,58.0
477420203601,13,63,OW,22.0,1,AL,58.0
477420203601,13,34,OW,22.0,1,WO,22.0
477420203601,13,25,OW,22.0,1,WO,22.0
477420203607,13,30,C2,25.0,1,ZZ,0.0
477420203624,13,36,OW,22.0,1,WO,22.0
477420203624,13,49,OW,22.0,1,AL,58.0
477420203624,13,55,OW,22.0,1,WO,22.0
477420203624,13,48,OW,22.0,1,AL,58.0
477420203624,13,60,OW,22.0,1,AL,58.0
477420203628,13,48,AO,35.0,1,AL,58.0
477420203628,13,58,AO,35.0,1,AL,58.0
477420203661,43,20,C4,25.0,1,ZZ,0.0
477420203712,13,31,C2,25.0,1,ZZ,0.0
477420203712,13,30,C2,25.0,1,ZZ,0.0
477420203712,13,38,C2,25.0,1,ZZ,0.0
477420203712,13,64,C2,25.0,1,ZZ,0.0
477420203712,13,45,AO,35.0,1,AL,32.0
477420203712,13,38,AO,35.0,1,AL,32.0
477420203717,13,39,C2,25.0,1,ZZ,0.0
477420203717,13,18,C2,25.0,1,ZZ,0.0
477420203753,13,42,AO,35.0,1,AL,58.0
477420203753,13,49,AO,35.0,1,AL,58.0
477420203753,13,58,AO,35.0,1,AL,58.0
477420203753,13,52,C2,25.0,1,ZZ,0.0
477420203753,13,43,C2,25.0,1,ZZ,0.0
477420203753,13,54,C2,25.0,1,ZZ,0.0
477420203753,13,34,C2,25.0,1,ZZ,0.0
477420203753,13,47,C2,25.0,1,ZZ,0.0
477420203755,13,33,OW,22.0,1,AL,58.0
477420203755,13,42,AO,35.0,1,AL,58.0
477420203783,13,28,AO,35.0,1,AL,32.0
477420203783,13,52,AO,35.0,1,AL,32.0
477420203783,13,37,AO,35.0,1,AL,32.0
477420203783,13,41,AO,35.0,1,AL,32.0
477420203783,13,42,AO,35.0,1,AL,32.0
477420203783,13,40,AO,35.0,1,AL,32.0
477420203788,13,19,OW,22.0,1,WO,22.0
477420203788,13,54,OW,22.0,1,AL,95.0
477420203808,13,79,D2,3.2,1,ZZ,0.0
477420203808,13,45,D2,3.2,1,ZZ,0.0
477420203808,13,45,D2,3.2,1,ZZ,0.0
477420203808,13,49,D2,3.2,1,ZZ,0.0
477420203808,13,41,D2,3.2,1,ZZ,0.0
477420203808,13,34,D2,3.2,1,ZZ,0.0
477420203820,13,35,AO,35.0,1,AL,32.0
477420203821,43,20,OW,22.0,3,WO,22.0
477420203825,43,27,C4,25.0,1,ZZ,0.0
477420203826,43,56,AO,35.0,3,AL,32.0
477420203826,43,50,AO,35.0,3,AL,32.0
477420203826,43,49,C4,25.0,1,ZZ,0.0
477420203826,43,44,C4,25.0,1,ZZ,0.0
477420203826,43,42,C4,25.0,1,ZZ,0.0
477420203826,43,50,AO,35.0,3,AL,32.0
477420203831,13,28,C2,25.0,1,ZZ,0.0
477420203831,13,66,C2,25.0,1,ZZ,0.0
477420203833,13,37,AO,35.0,1,AL,95.0
477420203833,13,35,AO,35.0,1,AL,32.0
477420203833,13,34,AO,35.0,1,AL,32.0
477420203838,13,30,AO,35.0,1,AL,32.0
477420203839,13,30,OW,22.0,1,WO,22.0
477420203845,13,43,AO,35.0,1,AL,32.0
477420203845,13,46,AO,35.0,1,AL,32.0
477420203859,43,38,OW,38.0,3,WO,38.0
477420203859,13,32,OW,22.0,1,OW,22.0
477420203859,13,43,OW,22.0,1,OW,22.0
477420203859,13,25,OW,22.0,1,WO,22.0
477420203860,13,42,AO,35.0,1,AL,95.0
477420203860,13,38,AO,35.0,1,AL,32.0
477420203860,13,35,AO,35.0,1,AL,32.0
477420203860,13,35,AO,35.0,1,AL,32.0
477420203860,13,26,C2,25.0,1,ZZ,0.0
477420203862,13,38,C2,25.0,1,ZZ,0.0
477420203862,13,45,C2,25.0,1,ZZ,0.0
477420203862,13,42,C2,25.0,1,ZZ,0.0
477420203875,13,41,OW,22.0,1,WO,22.0
477420203878,13,15,AO,35.0,1,AL,32.0
477420203901,13,22,AO,35.0,1,AL,32.0
477420203985,13,10,AO,35.0,1,AL,32.0
477420203985,13,46,AO,35.0,1,AL,58.0
477420203985,13,52,AO,35.0,1,AL,58.0
477420203985,13,47,AO,35.0,1,AL,58.0
477420203985,13,49,AO,35.0,1,AL,58.0
477420203989,13,80,AO,35.0,1,AL,32.0
477420203989,13,34,AO,35.0,1,AL,32.0
477420203993,13,55,AO,35.0,1,AL,32.0
477420204001,43,29,C4,25.0,1,ZZ,0.0
477420204001,43,37,C4,25.0,1,ZZ,0.0
477420204001,43,56,C4,25.0,1,ZZ,0.0
477420204001,43,42,C4,25.0,1,ZZ,0.0
477420204001,43,30,C4,25.0,1,ZZ,0.0
477420204001,43,27,C4,25.0,1,ZZ,0.0
477420204013,13,18,OW,22.0,1,WO,22.0
477420204015,13,32,OW,22.0,1,WO,22.0
477420204016,13,43,AO,35.0,1,AL,32.0
477420204016,13,54,AO,35.0,1,AL,32.0
477420204016,13,34,AO,35.0,1,AL,32.0
477420204019,13,45,OW,22.0,1,WO,22.0
477420204019,13,55,OW,22.0,1,AL,95.0
477420204027,13,67,OW,60.0,1,WO,60.0
477420204027,13,44,OW,60.0,1,WO,60.0
477420204030,13,29,OW,22.0,1,WO,22.0
477420204030,13,26,OW,22.0,1,WO,22.0
477420204037,43,59,AO,35.0,3,AL,95.0
477420204037,43,37,C4,25.0,1,ZZ,0.0
477420204037,43,36,C4,25.0,1,ZZ,0.0
477420204040,43,14,C4,25.0,1,ZZ,0.0
477420204040,13,29,C2,25.0,1,ZZ,0.0
477420204040,43,29,C4,25.0,1,ZZ,0.0
477420204040,43,36,C4,25.0,1,ZZ,0.0
477420204040,43,37,C4,25.0,1,ZZ,0.0
477420204040,43,45,C4,25.0,1,ZZ,0.0
477420204040,43,39,C4,25.0,1,ZZ,0.0
477420204053,13,55,C2,25.0,1,ZZ,0.0
477420204065,13,61,C2,25.0,1,ZZ,0.0
477420204068,13,29,OW,22.0,1,WO,22.0
477420204085,13,27,OW,22.0,1,WO,22.0
477420204092,13,42,OW,22.0,1,WO,22.0
477420204092,13,30,OW,22.0,1,WO,22.0
477420204092,13,48,OW,22.0,1,WO,22.0
477420204092,13,30,OW,22.0,1,WO,22.0
477420204093,13,50,C2,25.0,1,ZZ,0.0
477420204093,13,40,C2,25.0,1,ZZ,0.0
477420204093,13,50,C2,25.0,1,ZZ,0.0
477420204093,13,41,C2,25.0,1,ZZ,0.0
477420204093,13,36,C2,25.0,1,ZZ,0.0
477420204096,13,34,OW,22.0,1,WO,22.0
477420204098,13,56,AO,35.0,1,AL,32.0
477420204108,13,20,OW,22.0,1,WO,22.0
477420204108,13,25,OW,22.0,1,WO,22.0
477420204108,13,63,OW,22.0,1,WO,22.0
477420204109,13,39,C2,25.0,1,ZZ,0.0
477420204109,13,35,C2,25.0,1,ZZ,0.0
477420204109,13,38,C2,25.0,1,ZZ,0.0
477420204109,13,64,C2,25.0,1,ZZ,0.0
477420204109,13,20,D2,3.2,1,ZZ,0.0
477420204111,43,47,C4,25.0,1,ZZ,0.0
477420204111,43,47,C4,25.0,1,ZZ,0.0
477420204111,43,38,C4,25.0,1,ZZ,0.0
477420204111,43,28,C4,25.0,1,ZZ,0.0
477420204111,43,30,C4,25.0,1,ZZ,0.0
477420204117,43,27,C4,25.0,1,ZZ,0.0
477420204117,43,30,C4,25.0,1,ZZ,0.0
477420204120,13,31,AO,35.0,1,AL,32.0
477420204121,13,47,OW,22.0,1,WO,22.0
477420204122,13,31,C2,25.0,1,ZZ,0.0
477420204122,13,31,C2,25.0,1,ZZ,0.0
477420204124,13,43,OW,22.0,1,WO,22.0
477420204124,13,42,OW,22.0,1,WO,22.0
477420204130,13,52,C2,25.0,1,ZZ,0.0
477420204131,13,62,AO,35.0,1,AL,95.0
477420204131,13,54,AO,35.0,1,ZZ,0.0
477420204131,13,59,AO,35.0,1,AL,95.0
477420204131,13,14,C2,25.0,1,ZZ,0.0
477420204133,13,47,AO,35.0,1,AL,58.0
477420204133,13,50,C2,25.0,1,ZZ,0.0
477420204133,13,17,C2,25.0,1,ZZ,0.0
477420204141,13,41,AO,35.0,1,AL,32.0
477420204141,13,51,AO,35.0,1,AL,58.0
477420204142,13,18,AO,35.0,1,AL,32.0
477420204144,13,34,OW,22.0,1,AL,95.0
477420204144,13,13,OW,22.0,1,WO,22.0
477420204146,13,54,AO,35.0,1,AL,32.0
477420204146,13,35,AO,35.0,1,AL,32.0
477420204153,13,47,OW,22.0,1,WO,22.0
477420204165,13,51,C2,25.0,1,ZZ,0.0
477420204165,13,28,C2,25.0,1,ZZ,0.0
477420204166,13,25,AO,35.0,1,AL,32.0
477420204168,13,49,OW,22.0,1,WO,22.0
477420204169,43,56,AO,35.0,3,AL,58.0
477420204169,43,48,AO,35.0,3,AL,58.0
477420204169,43,54,AO,35.0,3,AL,58.0
477420204169,43,44,AO,35.0,3,AL,58.0
477420204169,43,38,AO,35.0,3,AL,58.0
477420204169,43,38,AO,35.0,3,AL,58.0
477420204169,43,37,AO,35.0,3,AL,58.0
477420204187,13,45,AO,35.0,1,AL,32.0
477420204187,13,34,AO,35.0,1,AL,32.0
477420204187,13,42,AO,35.0,1,AL,32.0
477420204187,13,31,AO,35.0,1,AL,32.0
477420204187,13,47,AO,35.0,1,AL,32.0
477420204187,13,44,AO,35.0,1,AL,32.0
477420204187,13,42,AO,35.0,1,AL,32.0
477420204192,13,27,AO,35.0,1,AL,58.0
477420204192,13,29,AO,35.0,1,AL,32.0
477420204192,13,39,AO,35.0,1,AL,32.0
477420204193,43,35,OW,22.0,3,WO,22.0
477420204194,13,54,AO,35.0,1,AL,32.0
477420204194,13,53,AO,35.0,1,AL,58.0
477420204194,13,46,AO,35.0,1,AL,58.0
477420204194,13,49,AO,35.0,1,AL,58.0
477420204197,13,47,AO,35.0,1,AL,32.0
477420204197,13,47,AO,35.0,1,AL,32.0
477420204197,13,32,AO,35.0,1,AL,32.0
477420204209,43,12,AO,35.0,3,AL,32.0
477420204211,13,54,AO,35.0,1,AL,95.0
477420204211,13,40,AO,35.0,1,AL,32.0
477420204212,13,15,AO,35.0,1,AL,32.0
477420204212,13,35,C2,35.0,1,ZZ,0.0
477420204212,13,48,C2,35.0,1,ZZ,0.0
477420204212,13,58,C2,35.0,1,ZZ,0.0
477420204212,13,45,C2,35.0,1,ZZ,0.0
477420204212,13,66,C2,25.0,1,ZZ,0.0
477420204212,13,62,C2,25.0,1,ZZ,0.0
477420204212,13,49,C2,25.0,1,ZZ,0.0
477420204212,13,58,C2,25.0,1,AL,95.0
477420204212,13,19,C2,25.0,1,ZZ,0.0
477420204212,13,22,AO,35.0,1,AL,32.0
477420204212,13,16,C2,25.0,1,ZZ,0.0
477420204214,13,47,AO,35.0,1,AL,95.0
477420204214,13,27,C2,25.0,1,ZZ,0.0
477420204214,13,51,AO,35.0,1,AL,95.0
477420204214,13,52,AO,35.0,1,AL,95.0
477420204214,13,46,AO,35.0,1,AL,95.0
477420204219,13,58,AO,35.0,1,AL,32.0
477420204219,13,34,AO,35.0,1,AL,32.0
477420204219,13,33,AO,35.0,1,AL,32.0
477420204227,13,17,AO,35.0,1,AL,32.0
477420204227,13,54,AO,35.0,1,AL,95.0
477420204227,13,17,AO,35.0,1,AL,32.0
477420204227,13,46,C2,25.0,1,ZZ,0.0
477420204227,13,44,C2,25.0,1,ZZ,0.0
477420204229,13,17,AO,35.0,1,AL,32.0
477420204229,13,11,C2,25.0,1,ZZ,0.0
477420204229,13,21,AO,35.0,1,AL,32.0
477420204229,13,18,AO,35.0,1,AL,32.0
477420204229,13,14,AO,35.0,1,AL,32.0
477420204229,13,30,C2,25.0,1,ZZ,0.0
477420204244,13,51,AO,35.0,1,AL,95.0
477420204244,13,40,AO,35.0,1,AL,32.0
477420204244,13,38,C2,25.0,1,ZZ,0.0
477420204244,13,45,C2,25.0,1,ZZ,0.0
477420204244,13,19,C2,25.0,1,ZZ,0.0
477420204244,13,27,C2,25.0,1,ZZ,0.0
477420204255,13,47,C2,25.0,1,ZZ,0.0
477420204255,13,30,C2,25.0,1,ZZ,0.0
477420204255,13,26,C2,25.0,1,ZZ,0.0
477420204255,13,32,C2,25.0,1,ZZ,0.0
477420204255,13,34,C2,25.0,1,ZZ,0.0
477420204255,13,32,C2,25.0,1,ZZ,0.0
477420204255,13,40,C2,25.0,1,ZZ,0.0
477420204256,13,38,C2,25.0,1,ZZ,0.0
477420204256,13,54,AO,35.0,1,AL,32.0
477420204256,13,35,AO,35.0,1,AL,32.0
477420204256,13,18,OC,32.0,1,AL,32.0
477420204256,13,57,AO,35.0,1,AL,58.0
477420204256,13,43,C2,25.0,1,ZZ,0.0
477420204256,13,51,AO,35.0,1,AL,95.0
477420204256,13,49,AO,35.0,1,AL,95.0
477420204260,13,33,AO,35.0,1,AL,32.0
477420204260,13,21,AO,35.0,1,AL,32.0
477420204263,13,32,AO,35.0,1,AL,32.0
477420204266,13,34,AO,35.0,1,AL,32.0
477420204269,13,48,AO,35.0,1,AL,95.0
477420204269,13,50,C2,25.0,1,ZZ,0.0
477420204269,13,34,AO,35.0,1,AL,32.0
477420204279,13,31,AO,35.0,1,AL,32.0
477420204281,13,36,AO,35.0,1,AL,58.0
477420204281,13,41,AO,35.0,1,AL,58.0
477420204282,13,10,OW,22.0,1,WO,22.0
477420204284,13,40,C2,25.0,1,ZZ,0.0
477420204310,13,14,AO,35.0,1,AL,32.0
477420204310,13,68,AO,35.0,1,AL,32.0
477420204310,13,48,AO,35.0,1,AL,32.0
477420204310,13,42,AO,35.0,1,AL,32.0
477420204315,43,25,C4,25.0,1,ZZ,0.0
477420204315,43,34,C4,25.0,1,ZZ,0.0
477420204315,43,35,C4,25.0,1,ZZ,0.0
477420204318,13,15,OW,22.0,1,WO,22.0
477420204323,13,26,D2,3.2,1,ZZ,0.0
477420204326,13,45,AO,35.0,1,AL,32.0
477420204327,13,54,AO,35.0,1,AL,58.0
477420204327,13,23,AO,35.0,1,AL,32.0
477420204328,13,29,OW,22.0,1,AL,58.0
477420204328,13,26,OW,22.0,1,AL,58.0
477420204328,13,32,C2,25.0,1,ZZ,0.0
477420204328,13,47,OW,22.0,1,OW,22.0
477420204328,13,36,AO,35.0,1,AL,32.0
477420204328,13,51,C2,25.0,1,ZZ,0.0
477420204328,13,48,AO,35.0,1,AL,32.0
477420204331,13,36,OW,22.0,1,WO,22.0
477420204331,13,56,OW,22.0,1,WO,22.0
477420204337,13,50,AO,35.0,1,AL,32.0
477420204337,13,56,AO,35.0,1,AL,58.0
477420204337,13,37,C2,25.0,1,ZZ,0.0
477420204337,13,46,C2,25.0,1,ZZ,0.0
477420204337,13,55,AO,35.0,1,AL,58.0
477420204337,13,37,AO,35.0,1,AL,58.0
477420204337,13,37,AO,35.0,1,AL,58.0
477420204337,13,51,AO,35.0,1,AL,58.0
477420204337,13,19,AO,35.0,1,AL,58.0
477420213004,13,48,C2,25.0,1,ZZ,0.0
477420213016,13,59,C2,25.0,1,ZZ,0.0
477420213016,13,57,C2,25.0,1,ZZ,0.0
477420213016,13,46,C2,25.0,1,ZZ,0.0
477420213016,13,50,C2,25.0,1,ZZ,0.0
477420213018,43,41,C4,25.0,1,ZZ,0.0
477420213018,43,45,C4,25.0,1,ZZ,0.0
477420213018,43,16,C4,25.0,1,ZZ,0.0
477420213019,13,48,AO,35.0,1,AL,32.0
477420213019,13,48,AO,35.0,1,AL,32.0
477420213019,13,34,AO,35.0,1,AL,32.0
477420213019,13,53,C2,25.0,1,ZZ,0.0
477420213029,13,47,AO,35.0,1,AL,32.0
477420213029,13,39,AO,35.0,1,AL,32.0
477420213029,13,38,AO,35.0,1,AL,32.0
477420213041,13,43,AO,35.0,1,AL,58.0
477420213041,13,35,AO,35.0,1,AL,32.0
477420213056,13,21,C2,25.0,1,ZZ,0.0
477420213068,13,26,AO,35.0,1,AL,32.0
477420213068,13,30,AO,35.0,1,AL,32.0
477420213068,13,69,AO,35.0,1,AL,32.0
477420213088,13,54,C2,25.0,1,ZZ,0.0
477420213093,13,31,C2,25.0,1,ZZ,0.0
477420213093,13,25,C2,25.0,1,ZZ,0.0
477420213097,13,19,OW,22.0,1,WO,22.0
477420213098,13,27,AO,35.0,1,AL,32.0
477420213098,13,14,AO,35.0,1,AL,32.0
477420213101,13,34,AO,35.0,1,AL,32.0
477420213101,13,45,AO,35.0,1,AL,32.0
477420213104,13,51,AO,35.0,1,AL,32.0
477420213104,13,52,C2,25.0,1,ZZ,0.0
477420213104,13,29,AO,35.0,1,AL,32.0
477420213138,13,11,AO,35.0,1,AL,32.0
477420213139,13,22,OW,22.0,1,WO,22.0
477420213140,13,20,AO,35.0,1,AL,32.0
477420213141,43,36,AO,35.0,3,AL,32.0
477420213162,13,12,OW,22.0,1,WO,22.0
477420213162,13,25,OW,22.0,1,WO,22.0
477420213163,13,32,OW,22.0,1,WO,22.0
477420213182,13,26,AO,35.0,1,AL,32.0
477420213192,13,39,C2,25.0,1,ZZ,0.0
477420213192,13,54,C2,25.0,1,ZZ,0.0
477420213193,13,38,OW,22.0,1,WO,22.0
477420213193,13,43,OW,22.0,1,WO,22.0
477420213195,13,43,OW,22.0,1,WO,22.0
477420213195,13,32,OW,22.0,1,WO,22.0
477420213196,13,54,OW,22.0,1,WO,22.0
477420213199,13,59,OW,22.0,1,WO,22.0
477420213199,13,56,OW,22.0,1,WO,22.0
477420213206,13,39,C2,25.0,1,ZZ,0.0
477420213206,13,23,C2,25.0,1,ZZ,0.0
477420213212,13,32,AO,35.0,1,AL,32.0
477420213216,13,42,AO,35.0,1,AL,32.0
477420213216,13,43,AO,35.0,1,AL,32.0
477420213216,13,46,AO,35.0,1,AL,32.0
477420213220,13,61,AO,35.0,1,AL,58.0
477420213220,13,47,AO,35.0,1,AL,32.0
477420213227,13,49,AO,35.0,1,AL,32.0
477420213228,13,16,C2,25.0,1,ZZ,0.0
477420213232,13,25,OW,22.0,1,WO,22.0
477420213232,13,61,OW,22.0,1,WO,22.0
477420213233,13,37,OW,22.0,1,WO,22.0
477420213233,13,36,OW,22.0,1,WO,22.0
477420213239,13,29,OW,22.0,1,WO,22.0
477420213250,13,43,C2,25.0,1,ZZ,0.0
477420213250,13,57,C2,25.0,1,ZZ,0.0
477420213251,13,56,C2,25.0,1,ZZ,0.0
477420213251,13,55,C2,25.0,1,ZZ,0.0
477420213251,13,44,C2,25.0,1,ZZ,0.0
477420213251,13,27,C2,25.0,1,ZZ,0.0
477420213252,13,20,AO,35.0,1,AL,32.0
477420213261,13,57,AO,35.0,1,AL,32.0
477420213264,13,29,AO,35.0,1,AL,32.0
477420213264,13,47,AO,35.0,1,AL,32.0
477420213265,13,51,OW,22.0,1,AL,58.0
477420213265,13,25,OW,22.0,1,WO,22.0
477420213266,13,30,AO,35.0,1,AL,32.0
477420213266,13,59,C2,25.0,1,ZZ,0.0
477420213276,13,41,AO,35.0,1,AL,95.0
477420213276,13,10,C2,25.0,1,ZZ,0.0
477420213276,13,38,AO,35.0,1,AL,95.0
477420213277,13,51,C2,25.0,1,ZZ,0.0
477420213284,13,50,AO,35.0,1,AL,32.0
477420213285,13,59,AO,35.0,1,AL,32.0
477420213285,13,51,AO,35.0,1,AL,32.0
477420213285,13,48,AO,35.0,1,AL,32.0
477420213285,13,34,AO,35.0,1,AL,32.0
477420213285,13,24,AO,35.0,1,AL,32.0
477420213298,13,55,AO,35.0,1,AL,32.0
477420213298,13,29,AO,35.0,1,AL,32.0
477420213299,13,56,AO,35.0,1,AL,32.0
477420213299,13,29,AO,35.0,1,AL,32.0
477420213300,13,54,C2,25.0,1,ZZ,0.0
477420213300,13,59,C2,25.0,1,ZZ,0.0
477420213301,13,33,OW,22.0,1,WO,22.0
477420213301,13,45,OW,22.0,1,WO,22.0
477420213301,13,62,OW,22.0,1,WO,22.0
477420213301,13,43,OW,22.0,1,AL,58.0
477420213302,13,50,AO,35.0,1,AL,32.0
477420213302,13,57,AO,35.0,1,AL,32.0
477420213302,13,55,AO,35.0,1,AL,58.0
477420213302,13,22,AO,35.0,1,AL,32.0
477420213320,13,18,AO,35.0,1,AL,32.0
477420213320,13,50,AO,35.0,1,AL,58.0
477420213322,13,47,C2,25.0,1,ZZ,0.0
477420213322,13,45,OW,22.0,1,WO,22.0
477420213323,13,22,D2,3.2,1,ZZ,0.0
477420213324,13,36,AO,35.0,1,AL,58.0
477420213325,13,40,C2,25.0,1,ZZ,0.0
477420213325,13,40,C2,25.0,1,ZZ,0.0
477420213325,13,30,C2,25.0,1,ZZ,0.0
477420213326,13,44,AO,35.0,1,AL,32.0
477420213327,13,28,AO,35.0,1,AL,95.0
477420213331,13,64,C2,25.0,1,ZZ,0.0
477420213331,13,50,C2,25.0,1,ZZ,0.0
477420213331,13,52,C2,25.0,1,ZZ,0.0
477420213331,13,48,C2,25.0,1,ZZ,0.0
477420213331,13,46,C2,25.0,1,ZZ,0.0
477420213331,13,53,C2,25.0,1,ZZ,0.0
477420213331,13,54,C2,25.0,1,ZZ,0.0
477420213331,13,41,C2,25.0,1,ZZ,0.0
477420213331,13,49,C2,25.0,1,ZZ,0.0
477420213331,13,40,C2,25.0,1,ZZ,0.0
477420213331,13,39,C2,25.0,1,ZZ,0.0
477420213335,13,54,AO,35.0,1,AL,32.0
477420213341,13,24,AO,35.0,1,AL,32.0
477420213341,13,11,AO,35.0,1,AL,32.0
477420213341,13,63,OC,32.0,1,AL,32.0
477420213346,13,44,AO,35.0,1,AL,32.0
477420213346,13,44,AO,35.0,1,AL,32.0
477420213346,13,45,C2,25.0,1,ZZ,0.0
477420213346,13,51,AO,35.0,1,AL,32.0
477420213353,13,30,D2,3.2,1,ZZ,0.0
477420213356,13,79,C2,25.0,1,ZZ,0.0
477420213356,13,49,C2,25.0,1,ZZ,0.0
477420213371,13,47,AO,35.0,1,AL,32.0
477420213371,13,29,AO,35.0,1,AL,32.0
477420213371,13,39,AO,35.0,1,AL,32.0
477420213371,13,54,AO,35.0,1,AL,32.0
477420213371,13,43,AO,35.0,1,AL,32.0
477420213375,13,27,OW,22.0,1,WO,22.0
477420213377,43,46,AO,35.0,3,AL,95.0
477420213377,43,16,AO,35.0,3,AL,32.0
477420213378,43,38,AO,35.0,3,AL,58.0
477420213378,43,36,AO,35.0,3,AL,58.0
477420213378,43,44,AO,35.0,3,AL,58.0
477420213378,43,57,AO,35.0,3,AL,58.0
477420213379,13,46,OW,22.0,1,AL,58.0
477420213379,13,15,OW,22.0,1,WO,22.0
477420213390,13,23,C2,25.0,1,ZZ,0.0
477420213393,13,43,AO,35.0,1,AL,58.0
477420213399,43,20,AO,35.0,3,AL,32.0
477420213400,13,34,AO,35.0,1,AL,58.0
477420213400,13,46,AO,35.0,1,AL,58.0
477420213400,13,44,AO,35.0,1,AL,58.0
477420213402,13,33,C2,25.0,1,ZZ,0.0
477420213402,13,30,C2,25.0,1,ZZ,0.0
477420213402,13,36,C2,25.0,1,ZZ,0.0
477420213402,13,47,AO,35.0,1,AL,58.0
477420213402,13,14,AO,35.0,1,AL,32.0
477420213402,13,18,AO,35.0,1,AL,58.0
477420213402,43,109,C4,38.0,1,ZZ,0.0
477420213403,13,37,AO,35.0,1,AL,32.0
477420213403,13,93,AO,35.0,1,AL,58.0
477420213407,13,55,C2,25.0,1,ZZ,0.0
477420213407,13,53,C2,25.0,1,ZZ,0.0
477420213408,13,16,C2,25.0,1,ZZ,0.0
477420213411,43,34,AO,35.0,1,AL,32.0
477420213411,43,75,AO,35.0,3,AL,32.0
477420213411,43,18,AO,35.0,3,AL,32.0
477420213411,43,48,AO,35.0,3,AL,58.0
477420213411,43,56,AO,35.0,3,AL,58.0
477420213411,43,55,AO,35.0,3,AL,58.0
477420213411,13,11,OW,22.0,1,OW,22.0
477420213412,13,22,C2,25.0,1,ZZ,0.0
477420213435,13,21,C2,25.0,1,ZZ,0.0
477420213436,13,30,OW,22.0,1,WO,22.0
477420213437,13,24,AO,35.0,1,AL,32.0
477420213437,13,50,AO,35.0,1,AL,95.0
477420213438,13,53,AO,35.0,1,AL,32.0
477420213438,13,41,AO,35.0,1,AL,58.0
477420213441,13,54,AO,35.0,1,AL,32.0
477420213446,13,35,AO,35.0,1,AL,32.0
477420213446,13,59,AO,35.0,1,AL,32.0
477420213447,13,35,AO,35.0,1,AL,32.0
477420213447,13,43,AO,35.0,1,AL,58.0
477420213449,13,43,OW,38.0,1,WO,38.0
477420213449,13,40,OW,38.0,1,WO,38.0
477420213449,13,36,OW,38.0,1,WO,38.0
477420213449,13,43,OW,38.0,1,WO,38.0
477420213451,43,19,AO,35.0,3,AL,32.0
477420213453,13,27,AO,35.0,1,AL,32.0
477420213453,13,33,AO,35.0,1,AL,32.0
477420213453,13,45,AO,35.0,1,AL,32.0
477420213453,13,37,AO,35.0,1,AL,32.0
477420213454,13,29,OW,22.0,1,WO,22.0
477420213454,13,44,OW,22.0,1,AL,95.0
477420213454,13,44,OW,22.0,1,AL,95.0
477420213463,13,54,AO,35.0,1,AL,32.0
477420213463,13,50,AO,35.0,1,AL,58.0
477420213468,13,42,C2,25.0,1,ZZ,0.0
477420213468,13,52,C2,25.0,1,ZZ,0.0
477420213468,13,40,C2,25.0,1,ZZ,0.0
477420213468,13,56,C2,25.0,1,ZZ,0.0
477420213468,13,55,C2,25.0,1,ZZ,0.0
477420213468,13,36,C2,25.0,1,ZZ,0.0
477420213468,13,38,C2,25.0,1,ZZ,0.0
477420213485,13,55,C2,25.0,1,ZZ,0.0
477420213485,13,62,C2,25.0,1,ZZ,0.0
477420213485,13,35,C2,25.0,1,ZZ,0.0
477420213492,13,20,AO,35.0,1,AL,32.0
477420213492,13,53,AO,35.0,1,AL,95.0
